iter	MAE
274	1.004582479
275	1.002338206
276	1.001336646
277	1.000322802
278	1.00007725
279	0.999976295
280	0.9995202315
281	0.9986918501
282	0.997903517
283	0.9977778301
284	0.9972828693
285	0.9951740834
286	0.9939217503
287	0.9935655504
288	0.9917726582
289	0.9896319503
290	0.9894010708
291	0.9892670734
292	0.9869121764
293	0.9865357
294	0.984587454
295	0.9844659528
296	0.9841456399
297	0.9836486301
298	0.9834961037
299	0.9828850665
300	0.9814940389
301	0.9802994113
302	0.9796338047
303	0.9790389403
304	0.9783715503
305	0.9782092891
306	0.9775359559
307	0.9773650585
308	0.976407649
309	0.9756005486
310	0.9748887881
311	0.9745644069
312	0.9743820104
313	0.9731494809
314	0.9730482375
315	0.972368242
316	0.9716645864
317	0.9705332947
318	0.969127231
319	0.9677443503
320	0.9674539474
321	0.9667970949
322	0.9657803679
323	0.9638719574
324	0.9635657411
325	0.962396738
326	0.9616470549
327	0.9604835358
328	0.9595393744
329	0.9587601328
330	0.9578806253
331	0.9562037458
332	0.9553195499
333	0.955250925
334	0.9547203878
335	0.9540492912
336	0.9524821325
337	0.9514286471
338	0.9511846489
339	0.95096093
340	0.9507402145
341	0.9505696131
342	0.9493392271
343	0.9490183004
344	0.9488177349
345	0.9475440573
346	0.9474680696
347	0.9472255711
348	0.9464862078
349	0.9453786003
350	0.9445517857
351	0.9438284712
352	0.9426330484
353	0.9408950989
354	0.940103572
355	0.9391648208
356	0.9374895784
357	0.9363366403
358	0.9348945187
359	0.9339797229
360	0.9338468974
361	0.9325520088
362	0.9321789815
363	0.9312379536
364	0.9299292878
365	0.9295897863
366	0.9287572271
367	0.9285986938
368	0.9282143246
369	0.9275630728
370	0.9261791602
371	0.9248681013
372	0.9241606544
373	0.9230249243
374	0.921540404
375	0.9206942863
376	0.9205247491
377	0.9202819693
378	0.9192730375
379	0.9191948463
380	0.9180129274
381	0.9173378437
382	0.9165306389
383	0.9163982887
384	0.9163010289
385	0.9161045921
386	0.9159868195
387	0.9158365429
388	0.9155448826
389	0.9153021269
390	0.9146685238
391	0.9142908939
392	0.9134903657
393	0.9134157504
394	0.9131066114
395	0.9118994541
396	0.9116998377
397	0.9115123952
398	0.9106204713
399	0.9105005043
400	0.9100048478
401	0.9092558834
402	0.9085242818
403	0.9083881227
404	0.9082946565
405	0.9080673784
406	0.9079950401
407	0.9069266556
408	0.9063501038
409	0.906244247
410	0.9060082253
411	0.9051251383
412	0.904211165
413	0.9040309844
414	0.9036803494
415	0.9030490126
416	0.9024410468
417	0.9021912114
418	0.902147298
419	0.9015781694
420	0.9007286236
421	0.9004068639
422	0.8999908455
423	0.8993191317
424	0.8985303074
425	0.8973848984
426	0.8965558027
427	0.8963923241
428	0.8957216783
429	0.8950030043
430	0.8944376386
431	0.8938538105
432	0.8931199361
433	0.8921985935
434	0.8914386669
435	0.8912920269
436	0.8909977315
437	0.8903028068
438	0.8902453823
439	0.8892349957
440	0.8891738011
441	0.8888404179
442	0.8882848195
443	0.8879646044
444	0.8869775119
445	0.8866981644
446	0.8860689156
447	0.885481554
448	0.8853163065
449	0.884710791
450	0.8845691389
451	0.8840403763
452	0.8832268367
453	0.8830176903
454	0.8828458408
455	0.882241688
456	0.8821809794
457	0.8820107102
458	0.8819760413
459	0.8813030049
460	0.8808949338
461	0.8807752681
462	0.8804740944
463	0.879713319
464	0.8795664215
465	0.8794774252
466	0.8792516903
467	0.8784678832
468	0.8783071723
469	0.8781822924
470	0.8780458202
471	0.8774591319
472	0.876840351
473	0.8765410951
474	0.8761142693
475	0.8752745757
476	0.8746710918
477	0.873677105
478	0.8735628965
479	0.8729877941
480	0.8725338259
481	0.8723773812
482	0.871799335
483	0.8714868002
484	0.8707765017
485	0.8707124551
486	0.8706342589
487	0.8703318563
488	0.8701541269
489	0.8694216156
490	0.8689181393
491	0.8687748148
492	0.8677678523
493	0.8675978126
494	0.8672805036
495	0.8670876064
496	0.8664074999
497	0.8659880594
498	0.8658908801
499	0.8657457297
