iter	Passed	Remaining
406	5879	1343
407	5893	1328
408	5907	1314
409	5922	1300
410	5937	1285
411	5952	1271
412	5969	1257
413	5982	1242
414	5997	1228
415	6012	1214
416	6029	1200
417	6047	1186
418	6061	1171
419	6076	1157
420	6091	1143
421	6105	1128
422	6118	1113
423	6133	1099
424	6148	1084
425	6161	1070
426	6175	1055
427	6189	1041
428	6203	1026
429	6218	1012
430	6230	997
431	6245	983
432	6259	968
433	6273	953
434	6287	939
435	6300	924
436	6314	910
437	6328	895
438	6343	881
439	6356	866
440	6370	852
441	6386	838
442	6401	823
443	6415	809
444	6430	794
445	6444	780
446	6458	765
447	6472	751
448	6486	736
449	6499	722
450	6514	707
451	6529	693
452	6543	678
453	6558	664
454	6571	649
455	6586	635
456	6600	621
457	6614	606
458	6628	592
459	6643	577
460	6656	563
461	6669	548
462	6684	534
463	6698	519
464	6711	505
465	6724	490
466	6739	476
467	6752	461
468	6768	447
469	6785	433
470	6800	418
471	6815	404
472	6830	389
473	6843	375
474	6858	360
475	6871	346
476	6886	332
477	6901	317
478	6916	303
479	6930	288
480	6944	274
481	6958	259
482	6972	245
483	6985	230
484	6999	216
485	7014	202
486	7028	187
487	7042	173
488	7056	158
489	7070	144
490	7085	129
491	7099	115
492	7114	101
493	7128	86
494	7142	72
495	7156	57
496	7172	43
497	7188	28
498	7201	14
499	7216	0
