timestamp,error_rate
1779734520,0.025323910482921087
1779734535,0.02591792656587473
1779734550,0.025914634146341466
1779734565,0.025728155339805825
1779734580,0.026484018264840186
1779734595,0.02586938083121289
1779734610,0.027158492095662748
1779734625,0.02776691435275714
1779734640,0.03028009084027252
1779734655,0.0314176245210728
1779734670,0.03211351755041076
1779734685,0.032744665194996324
1779734700,0.033236994219653176
1779734715,0.03330919623461259
1779734730,0.03330919623461259
1779734745,0.03363471971066908
1779734760,0.03326023391812866
1779734775,0.032398980706224975
1779734790,0.031636363636363636
1779734805,0.030559646539027985
1779734820,0.03140007388252678
1779734835,0.03139013452914798
1779734850,0.030873493975903613
1779734865,0.03181137724550898
1779734880,0.030892448512585814
1779734895,0.03161141094834233
1779734910,0.029988465974625143
1779734925,0.028257456828885398
1779734940,0.02614124073351541
1779734955,0.02453271028037383
1779734970,0.023663810689514484
1779734985,0.022443890274314218
1779735000,0.02165605095541401
1779735015,0.021464646464646468
1779735030,0.021376656690893545
1779735045,0.020338983050847456
1779735060,0.020596889449348465
1779735075,0.0208768267223382
1779735090,0.02169378389653734
1779735105,0.021839563208735827
1779735120,0.02039117769454848
1779735135,0.020589422688736377
1779735150,0.020675944333996023
1779735165,0.019786307874950535
1779735180,0.019661816751867876
1779735195,0.020023557126030624
1779735210,0.019238319591676482
1779735225,0.01891998423334647
1779735240,0.01968503937007874
1779735255,0.02177293934681182
1779735270,0.023882896764252693
1779735285,0.023984526112185687
1779735300,0.024739080015461927
1779735315,0.02561117578579744
1779735330,0.027939464493597202
1779735345,0.026457055214723923
1779735360,0.027286702536510377
1779735375,0.028352490421455937
1779735390,0.027543993879112473
1779735405,0.027526395173453996
1779735420,0.028344671201814057
1779735435,0.02871556072953046
1779735450,0.02959262106072252
1779735465,0.029683885890516574
1779735480,0.029548989113530325
1779735495,0.029319781078967943
1779735510,0.028037383177570093
1779735525,0.029002320185614845
1779735540,0.02639873916469661
1779735555,0.026283865750101092
1779735570,0.027103559870550162
1779735585,0.025889967637540454
1779735600,0.024796747967479677
1779735615,0.02486963497793823
1779735630,0.024193548387096777
1779735645,0.024600246002460024
1779735660,0.02548294286888615
1779735675,0.023246329526916805
1779735690,0.024430641821946167
1779735705,0.025052192066805843
1779735720,0.024957698815566833
1779735735,0.024573094543940025
1779735750,0.02564102564102564
1779735765,0.025273799494524008
1779735780,0.026282853566958694
1779735795,0.02753801890669955
1779735810,0.02742529676627098
1779735825,0.028818443804034585
1779735840,0.02939975500204165
1779735855,0.028618152085036794
1779735870,0.02768729641693811
1779735885,0.029590595865423588
1779735900,0.02859477124183007
1779735915,0.027937551355792935
1779735930,0.02845528455284553
1779735945,0.029149797570850206
1779735960,0.02938808373590982
1779735975,0.03128712871287129
1779735990,0.031176006314127865
1779736005,0.0320919175911252
1779736020,0.030158730158730156
1779736035,0.030144694533762055
1779736050,0.02923508209851822
1779736065,0.029952076677316294
1779736080,0.02922077922077922
1779736095,0.027856277755349212
1779736110,0.028594771241830064
1779736125,0.028443722064201548
1779736140,0.027586206896551724
1779736155,0.0285829307568438
1779736170,0.028003246753246756
1779736185,0.02854845195014073
1779736200,0.029008863819500404
1779736215,0.029778672032193157
1779736230,0.028675282714054926
1779736245,0.028491171749598716
1779736260,0.02765351769011793
1779736275,0.02522746071133168
1779736290,0.02488593944421402
1779736305,0.02486531288852051
1779736320,0.026037428803905614
1779736335,0.025995125913891148
1779736350,0.027577937649880098
1779736365,0.027037617554858933
1779736380,0.027734375
1779736395,0.029171528588098013
1779736410,0.02857142857142857
1779736425,0.029268292682926828
1779736440,0.02929027412692452
1779736455,0.02911905639513454
1779736470,0.02951763858891289
1779736485,0.028441011235955056
1779736500,0.028825622775800714
1779736515,0.02775850104094379
1779736530,0.028521739130434782
1779736545,0.027988942639944715
1779736560,0.029840623940318754
1779736575,0.030831099195710452
1779736590,0.032441471571906355
1779736605,0.031804486106461326
1779736620,0.03137651821862348
1779736635,0.03210544102737411
1779736650,0.03238866396761133
1779736665,0.033568311513930846
1779736680,0.03331067301155676
1779736695,0.033390705679862305
1779736710,0.03525305410122164
1779736725,0.03409490333919156
1779736740,0.0341235632183908
1779736755,0.03488372093023256
1779736770,0.03687315634218289
1779736785,0.037285607755406416
1779736800,0.03683035714285714
1779736815,0.03862173419159409
1779736830,0.03727171077152441
1779736845,0.037467216185837385
1779736860,0.03717899578382522
1779736875,0.03483920367534456
1779736890,0.03271205781666033
1779736905,0.03310502283105023
1779736920,0.0338274420372482
1779736935,0.03203396372057121
1779736950,0.03309692671394799
1779736965,0.03110236220472441
1779736980,0.030943987465726595
1779736995,0.030895580758701604
1779737010,0.02909231962761831
1779737025,0.029896512073591414
1779737040,0.029177718832891247
1779737055,0.027850959729017688
1779737070,0.02611657834973505
1779737085,0.02840909090909091
1779737100,0.028147584632940283
1779737115,0.026475037821482604
1779737130,0.027484939759036143
1779737145,0.027672479150871874
1779737160,0.027293404094010616
1779737175,0.02986725663716814
1779737190,0.029922423346878464
1779737205,0.02925243770314193
1779737220,0.030542579949694573
1779737235,0.02982902873772281
1779737250,0.02977487291212782
1779737265,0.03179824561403509
1779737280,0.029097605893186006
1779737295,0.03012490815576782
1779737310,0.031496062992125984
1779737325,0.031082118188795086
1779737340,0.02986811481768813
1779737355,0.02992615623785464
1779737370,0.02712127082526153
1779737385,0.02658326817826427
1779737400,0.02610759493670886
1779737415,0.027676027676027674
1779737430,0.027991886409736308
1779737445,0.02684294871794872
1779737460,0.026305139619587213
1779737475,0.025020850708924104
1779737490,0.02441077441077441
1779737505,0.025365434221840066
1779737520,0.02552105487026797
1779737535,0.025726141078838173
1779737550,0.024076380240763803
1779737565,0.02285002077274616
1779737580,0.023070469798657723
1779737595,0.02231578947368421
1779737610,0.022660511959714646
1779737625,0.02457002457002457
1779737640,0.02466639708855641
1779737655,0.02665589660743134
1779737670,0.029317269076305223
1779737685,0.029165001997602878
1779737700,0.028819581523884724
1779737715,0.027624309392265196
1779737730,0.028241845664280032
1779737745,0.028973843058350098
1779737760,0.028605482717520857
1779737775,0.02889944576405384
1779737790,0.028799999999999996
1779737805,0.029376736800317584
1779737820,0.028011204481792718
1779737835,0.028386050283860504
1779737850,0.029493822239936227
1779737865,0.029106858054226473
1779737880,0.03009630818619583
1779737895,0.029095257074531682
1779737910,0.029411764705882353
1779737925,0.028317152103559874
1779737940,0.027664768104149712
1779737955,0.0270495214315439
1779737970,0.024758707511540072
1779737985,0.02418682235195997
1779738000,0.02413649604660841
1779738015,0.022793203481143803
1779738030,0.021576763485477178
1779738045,0.02085070892410342
1779738060,0.020764119601328904
1779738075,0.02085070892410342
1779738090,0.01959114139693356
1779738105,0.020202020202020204
1779738120,0.021603656003323642
1779738135,0.02116182572614108
1779738150,0.020712510356255178
1779738165,0.020675944333996023
1779738180,0.022153128643606683
1779738195,0.023264683447749807
1779738210,0.022632968691059976
1779738225,0.021986075485525832
1779738240,0.022230320699708456
1779738255,0.022447501810282402
1779738270,0.022564469914040115
1779738285,0.023843930635838152
1779738300,0.024793388429752067
1779738315,0.025125628140703522
1779738330,0.02575107296137339
1779738345,0.026732325008793526
1779738360,0.02596491228070175
1779738375,0.028980446927374302
1779738390,0.02935082872928177
1779738405,0.028551771585827314
1779738420,0.02981494174091844
1779738435,0.029239766081871347
1779738450,0.029031129765652326
1779738465,0.0288496213487198
1779738480,0.029105282069708947
1779738495,0.02824228911185433
1779738510,0.028763541277549494
1779738525,0.028298279158699806
1779738540,0.030892448512585814
1779738555,0.03138155376961347
1779738570,0.03161904761904762
1779738585,0.03243037008775277
1779738600,0.03175803402646503
1779738615,0.03333333333333334
1779738630,0.03212551363466567
1779738645,0.03393665158371041
1779738660,0.03236607142857143
1779738675,0.03176382660687593
1779738690,0.031423290203327174
1779738705,0.03158281307381565
1779738720,0.030481087036356963
1779738735,0.03154459753444525
1779738750,0.03202328966521106
1779738765,0.0318494390155628
1779738780,0.030258302583025837
1779738795,0.03205828779599272
1779738810,0.03305178112376056
1779738825,0.03365384615384615
1779738840,0.03111111111111111
1779738855,0.03226963069200431
1779738870,0.034359341445955614
1779738885,0.03308694121788103
1779738900,0.033604527767951885
1779738915,0.0333569907735983
1779738930,0.03192982456140351
1779738945,0.030534351145038174
1779738960,0.03276992066229734
1779738975,0.03343782654127482
1779738990,0.03378839590443686
1779739005,0.03469181542606938
1779739020,0.035618279569892476
1779739035,0.035246727089627394
1779739050,0.03537190082644628
1779739065,0.036148537627341444
1779739080,0.036387264457439894
1779739095,0.035633300939423386
1779739110,0.03630573248407643
1779739125,0.037037037037037035
1779739140,0.038232528987778125
1779739155,0.038510502864417574
1779739170,0.039367537915456594
1779739185,0.039008264462809916
1779739200,0.03843582887700535
1779739215,0.036911615306468
1779739230,0.0387517146776406
1779739245,0.037370242214532876
1779739260,0.03695955369595537
