timestamp,datetime_utc,handler,value
1779735675,2026-05-25T19:01:15,/accounts/{account_id},3.861016949152542
1779735690,2026-05-25T19:01:30,/accounts/{account_id},3.7966101694915255
1779735705,2026-05-25T19:01:45,/accounts/{account_id},3.7254237288135594
1779735720,2026-05-25T19:02:00,/accounts/{account_id},3.688135593220339
1779735735,2026-05-25T19:02:15,/accounts/{account_id},3.789830508474576
1779735750,2026-05-25T19:02:30,/accounts/{account_id},3.698305084745763
1779735765,2026-05-25T19:02:45,/accounts/{account_id},3.688135593220339
1779735780,2026-05-25T19:03:00,/accounts/{account_id},3.7254237288135594
1779735795,2026-05-25T19:03:15,/accounts/{account_id},3.783050847457627
1779735810,2026-05-25T19:03:30,/accounts/{account_id},3.7864406779661017
1779735825,2026-05-25T19:03:45,/accounts/{account_id},3.759322033898305
1779735840,2026-05-25T19:04:00,/accounts/{account_id},3.776271186440678
1779735855,2026-05-25T19:04:15,/accounts/{account_id},3.772881355932203
1779735870,2026-05-25T19:04:30,/accounts/{account_id},3.772881355932203
1779735885,2026-05-25T19:04:45,/accounts/{account_id},3.7152542372881356
1779735900,2026-05-25T19:05:00,/accounts/{account_id},3.7322033898305085
1779735915,2026-05-25T19:05:15,/accounts/{account_id},3.71864406779661
1779735930,2026-05-25T19:05:30,/accounts/{account_id},3.766101694915254
1779735945,2026-05-25T19:05:45,/accounts/{account_id},3.8
1779735960,2026-05-25T19:06:00,/accounts/{account_id},3.8508474576271183
1779735975,2026-05-25T19:06:15,/accounts/{account_id},3.9389830508474577
1779735990,2026-05-25T19:06:30,/accounts/{account_id},3.932203389830508
1779736005,2026-05-25T19:06:45,/accounts/{account_id},3.9084745762711863
1779736020,2026-05-25T19:07:00,/accounts/{account_id},3.9389830508474577
1779736035,2026-05-25T19:07:15,/accounts/{account_id},3.871186440677966
1779736050,2026-05-25T19:07:30,/accounts/{account_id},3.9050847457627116
1779736065,2026-05-25T19:07:45,/accounts/{account_id},3.9050847457627116
1779736080,2026-05-25T19:08:00,/accounts/{account_id},3.8949152542372882
1779736095,2026-05-25T19:08:15,/accounts/{account_id},3.8983050847457625
1779736110,2026-05-25T19:08:30,/accounts/{account_id},3.830508474576271
1779736125,2026-05-25T19:08:45,/accounts/{account_id},3.8338983050847455
1779736140,2026-05-25T19:09:00,/accounts/{account_id},3.8508474576271183
1779736155,2026-05-25T19:09:15,/accounts/{account_id},3.9016949152542373
1779736170,2026-05-25T19:09:30,/accounts/{account_id},3.9016949152542373
1779736185,2026-05-25T19:09:45,/accounts/{account_id},3.9559322033898305
1779736200,2026-05-25T19:10:00,/accounts/{account_id},3.949152542372881
1779736215,2026-05-25T19:10:15,/accounts/{account_id},3.9050847457627116
1779736230,2026-05-25T19:10:30,/accounts/{account_id},3.8881355932203387
1779736245,2026-05-25T19:10:45,/accounts/{account_id},3.925423728813559
1779736260,2026-05-25T19:11:00,/accounts/{account_id},3.8881355932203387
1779736275,2026-05-25T19:11:15,/accounts/{account_id},3.7966101694915255
1779736290,2026-05-25T19:11:30,/accounts/{account_id},3.7932203389830508
1779736305,2026-05-25T19:11:45,/accounts/{account_id},3.789830508474576
1779736320,2026-05-25T19:12:00,/accounts/{account_id},3.857627118644068
1779736335,2026-05-25T19:12:15,/accounts/{account_id},3.8169491525423727
1779736350,2026-05-25T19:12:30,/accounts/{account_id},3.847457627118644
1779736365,2026-05-25T19:12:45,/accounts/{account_id},3.928813559322034
1779736380,2026-05-25T19:13:00,/accounts/{account_id},3.91864406779661
1779736395,2026-05-25T19:13:15,/accounts/{account_id},3.928813559322034
1779736410,2026-05-25T19:13:30,/accounts/{account_id},3.989830508474576
1779736425,2026-05-25T19:13:45,/accounts/{account_id},4.040677966101695
1779736440,2026-05-25T19:14:00,/accounts/{account_id},4.023728813559322
1779736455,2026-05-25T19:14:15,/accounts/{account_id},4.122033898305085
1779736470,2026-05-25T19:14:30,/accounts/{account_id},4.254237288135593
1779736485,2026-05-25T19:14:45,/accounts/{account_id},4.420338983050847
1779736500,2026-05-25T19:15:00,/accounts/{account_id},4.3118644067796605
1779736515,2026-05-25T19:15:15,/accounts/{account_id},4.461016949152542
1779736530,2026-05-25T19:15:30,/accounts/{account_id},4.440677966101695
1779736545,2026-05-25T19:15:45,/accounts/{account_id},4.5152542372881355
1779736560,2026-05-25T19:16:00,/accounts/{account_id},4.603389830508474
1779736575,2026-05-25T19:16:15,/accounts/{account_id},4.677966101694915
1779736590,2026-05-25T19:16:30,/accounts/{account_id},4.688135593220339
1779736605,2026-05-25T19:16:45,/accounts/{account_id},4.715254237288136
1779736620,2026-05-25T19:17:00,/accounts/{account_id},4.684745762711865
1779736635,2026-05-25T19:17:15,/accounts/{account_id},4.715254237288136
1779736650,2026-05-25T19:17:30,/accounts/{account_id},4.786440677966102
1779736665,2026-05-25T19:17:45,/accounts/{account_id},4.850847457627118
1779736680,2026-05-25T19:18:00,/accounts/{account_id},4.783050847457627
1779736695,2026-05-25T19:18:15,/accounts/{account_id},4.705084745762711
1779736710,2026-05-25T19:18:30,/accounts/{account_id},4.694915254237288
1779736725,2026-05-25T19:18:45,/accounts/{account_id},4.6745762711864405
1779736740,2026-05-25T19:19:00,/accounts/{account_id},4.6
1779736755,2026-05-25T19:19:15,/accounts/{account_id},4.5152542372881355
1779736770,2026-05-25T19:19:30,/accounts/{account_id},4.420338983050847
1779736785,2026-05-25T19:19:45,/accounts/{account_id},4.359322033898305
1779736800,2026-05-25T19:20:00,/accounts/{account_id},4.386440677966101
1779736815,2026-05-25T19:20:15,/accounts/{account_id},4.335593220338983
1779736830,2026-05-25T19:20:30,/accounts/{account_id},4.447457627118644
1779736845,2026-05-25T19:20:45,/accounts/{account_id},4.444067796610169
1779736860,2026-05-25T19:21:00,/accounts/{account_id},4.3118644067796605
1779736875,2026-05-25T19:21:15,/accounts/{account_id},4.352542372881356
1779736890,2026-05-25T19:21:30,/accounts/{account_id},4.393220338983051
1779736905,2026-05-25T19:21:45,/accounts/{account_id},4.410169491525424
1779736920,2026-05-25T19:22:00,/accounts/{account_id},4.393220338983051
1779736935,2026-05-25T19:22:15,/accounts/{account_id},4.366101694915254
1779736950,2026-05-25T19:22:30,/accounts/{account_id},4.206779661016949
1779736965,2026-05-25T19:22:45,/accounts/{account_id},4.179661016949153
1779736980,2026-05-25T19:23:00,/accounts/{account_id},4.2
1779736995,2026-05-25T19:23:15,/accounts/{account_id},4.227118644067796
1779737010,2026-05-25T19:23:30,/accounts/{account_id},4.271186440677966
1779737025,2026-05-25T19:23:45,/accounts/{account_id},4.338983050847458
1779737040,2026-05-25T19:24:00,/accounts/{account_id},4.406779661016949
1779737055,2026-05-25T19:24:15,/accounts/{account_id},4.430508474576271
1779737070,2026-05-25T19:24:30,/accounts/{account_id},4.386440677966101
1779737085,2026-05-25T19:24:45,/accounts/{account_id},4.338983050847458
1779737100,2026-05-25T19:25:00,/accounts/{account_id},4.328813559322033
1779737115,2026-05-25T19:25:15,/accounts/{account_id},4.284745762711864
1779737130,2026-05-25T19:25:30,/accounts/{account_id},4.2983050847457624
1779737145,2026-05-25T19:25:45,/accounts/{account_id},4.257627118644067
1779737160,2026-05-25T19:26:00,/accounts/{account_id},4.261016949152542
1779737175,2026-05-25T19:26:15,/accounts/{account_id},4.3254237288135595
1779737190,2026-05-25T19:26:30,/accounts/{account_id},4.294915254237288
1779737205,2026-05-25T19:26:45,/accounts/{account_id},4.352542372881356
1779737220,2026-05-25T19:27:00,/accounts/{account_id},4.372881355932203
1779737235,2026-05-25T19:27:15,/accounts/{account_id},4.322033898305085
1779737250,2026-05-25T19:27:30,/accounts/{account_id},4.332203389830508
1779737265,2026-05-25T19:27:45,/accounts/{account_id},4.301694915254237
1779737280,2026-05-25T19:28:00,/accounts/{account_id},4.2983050847457624
1779737295,2026-05-25T19:28:15,/accounts/{account_id},4.28135593220339
1779737310,2026-05-25T19:28:30,/accounts/{account_id},4.193220338983051
1779737325,2026-05-25T19:28:45,/accounts/{account_id},4.088135593220339
1779737340,2026-05-25T19:29:00,/accounts/{account_id},4.088135593220339
1779737355,2026-05-25T19:29:15,/accounts/{account_id},4.094915254237288
1779737370,2026-05-25T19:29:30,/accounts/{account_id},4.179661016949153
1779737385,2026-05-25T19:29:45,/accounts/{account_id},4.176271186440678
1779737400,2026-05-25T19:30:00,/accounts/{account_id},4.125423728813559
1779737415,2026-05-25T19:30:15,/accounts/{account_id},3.9864406779661015
1779737430,2026-05-25T19:30:30,/accounts/{account_id},3.9864406779661015
1779737445,2026-05-25T19:30:45,/accounts/{account_id},4.03728813559322
1779737460,2026-05-25T19:31:00,/accounts/{account_id},3.983050847457627
1779737475,2026-05-25T19:31:15,/accounts/{account_id},3.861016949152542
1779737490,2026-05-25T19:31:30,/accounts/{account_id},3.9016949152542373
1779737505,2026-05-25T19:31:45,/accounts/{account_id},3.789830508474576
1779737520,2026-05-25T19:32:00,/accounts/{account_id},3.8203389830508474
1779737535,2026-05-25T19:32:15,/accounts/{account_id},3.8677966101694916
1779737550,2026-05-25T19:32:30,/accounts/{account_id},3.9050847457627116
1779737565,2026-05-25T19:32:45,/accounts/{account_id},3.91864406779661
1779737580,2026-05-25T19:33:00,/accounts/{account_id},3.8237288135593217
1779737595,2026-05-25T19:33:15,/accounts/{account_id},3.8135593220338984
1779737610,2026-05-25T19:33:30,/accounts/{account_id},3.8372881355932202
1779737625,2026-05-25T19:33:45,/accounts/{account_id},3.861016949152542
1779737640,2026-05-25T19:34:00,/accounts/{account_id},3.91864406779661
1779737655,2026-05-25T19:34:15,/accounts/{account_id},3.8677966101694916
1779737670,2026-05-25T19:34:30,/accounts/{account_id},3.8237288135593217
1779737685,2026-05-25T19:34:45,/accounts/{account_id},3.8237288135593217
1779737700,2026-05-25T19:35:00,/accounts/{account_id},3.8847457627118644
